source_rank,title,year,director,country,length,genre,imdb,idtspdt
362,The Silence of the Lambs,1991,"Demme, Jonathan",USA,118,Crime-Drama-Thriller,IMDb,18104
363,Night of the Living Dead,1968,"Romero, George A.",USA,96,Horror,IMDb,10343
366,How Green Was My Valley,1941,"Ford, John",USA,118,Drama,IMDb,2480
367,Written on the Wind,1956,"Sirk, Douglas",USA,99,Drama,IMDb,6948
369,Safe,1995,"Haynes, Todd",USA,119,Drama,IMDb,18037
371,All the President's Men,1976,"Pakula, Alan J.",USA,138,Political-Drama-History,IMDb,12353
374,Make Way for Tomorrow,1937,"McCarey, Leo",USA,92,Drama,IMDb,932
375,Heaven's Gate,1980,"Cimino, Michael",USA,219,Western-Drama-History,IMDb,13447
376,The Killing of a Chinese Bookie,1976,"Cassavetes, John",USA,109,Drama-Crime,IMDb,12466
381,Marnie,1964,"Hitchcock, Alfred",USA,130,Crime-Drama-Mystery,IMDb,9403
382,This is Spinal Tap,1984,"Reiner, Rob",USA,82,Comedy-Music,IMDb,14680
384,Two-Lane Blacktop,1971,"Hellman, Monte",USA,101,Drama,IMDb,11049
386,An Affair to Remember,1957,"McCarey, Leo",USA,115,Romance-Drama,IMDb,6965
388,Lost Highway,1997,"Lynch, David",USA-France,134,Mystery-Drama-Thriller,IMDb,1821
390,Stranger Than Paradise,1984,"Jarmusch, Jim",USA-West Germany,89,Comedy-Drama,IMDb,14658
398,The Long Goodbye,1973,"Altman, Robert",USA,112,Drama-Crime-Mystery,IMDb,11749
404,Fantasia,1940,Various Directors,USA,120,Fantasy-Family-Animation,IMDb,2210
408,The Birth of a Nation,1915,"Griffith, D.W.",USA,187,War-History-Drama,IMDb,133
409,Dawn of the Dead,1978,"Romero, George A.",USA,126,Horror-Action,IMDb,12820
410,Crimes and Misdemeanors,1989,"Allen, Woody",USA,104,Drama-Comedy,IMDb,16131
415,Lost in Translation,2003,"Coppola, Sofia",USA-Japan,102,Romance-Drama-Comedy,IMDb,21404
418,Snow White and the Seven Dwarfs,1937,"Hand, David",USA,83,Animation-Family-Fantasy,IMDb,1423
420,Splendor in the Grass,1961,"Kazan, Elia",USA,124,Drama-Romance,IMDb,8538
425,Network,1976,"Lumet, Sidney",USA,121,Drama,IMDb,12506
429,The Awful Truth,1937,"McCarey, Leo",USA,92,Romance-Comedy,IMDb,76
431,Chelsea Girls,1966,"Warhol, Andy",USA,210,Drama-Avant-Garde,IMDb,18525
432,Bride of Frankenstein,1935,"Whale, James",USA,75,Horror-Science Fiction,IMDb,177
433,A.I. Artificial Intelligence,2001,"Spielberg, Steven",USA,145,Science Fiction-Drama,IMDb,20351
437,Casino,1995,"Scorsese, Martin",USA,182,Drama-Crime,IMDb,16754
439,No Country for Old Men,2007,"Coen, Joel & Ethan Coen",USA,122,Crime-Drama-Thriller,IMDb,25821
440,Phantom Thread,2017,"Anderson, Paul Thomas",USA-China,130,Drama-Romance,IMDb,42868
442,A Star is Born,1954,"Cukor, George",USA,154,Musical-Drama,IMDb,6222
446,Carrie,1976,"De Palma, Brian",USA,97,Horror-Thriller,IMDb,12382
447,Boogie Nights,1997,"Anderson, Paul Thomas",USA,155,Drama,IMDb,18762
449,The Shawshank Redemption,1994,"Darabont, Frank",USA,142,Prison-Drama,IMDb,18090
454,Limelight,1952,"Chaplin, Charles",USA,145,Drama-Comedy,IMDb,5435
455,The Cameraman,1928,"Keaton, Buster & Edward Sedgwick",USA,69,Romance-Comedy,IMDb,218
456,The Scarlet Empress,1934,"von Sternberg, Josef",USA,110,History-Drama-Biography,IMDb,1338
458,The Wind,1928,"Sjöström, Victor",USA,88,Drama,IMDb,1748
466,Pan's Labyrinth,2006,"del Toro, Guillermo",Spain-Mexico-USA,120,Drama-Fantasy-Thriller,IMDb,24845
470,Pinocchio,1940,"Sharpsteen, Ben & Hamilton Luske",USA,88,Fantasy-Family-Animation,IMDb,2305
474,The Dead,1987,"Huston, John",USA,83,Drama,IMDb,15431
478,Elephant,2003,"Van Sant, Gus",USA,81,Drama,IMDb,21613
479,Wagon Master,1950,"Ford, John",USA,86,Western,IMDb,4914
482,High Noon,1952,"Zinnemann, Fred",USA,84,Western,IMDb,5398
483,To Kill a Mockingbird,1962,"Mulligan, Robert",USA,129,Drama-Crime,IMDb,8843
484,Talk to Her,2002,"Almodóvar, Pedro",Spain-USA,112,Drama-Mystery-Romance,IMDb,20919
487,"Steamboat Bill, Jr.",1928,"Keaton, Buster & Charles Reisner",USA,71,Comedy-Adventure,IMDb,1480
489,Five Easy Pieces,1970,"Rafelson, Bob",USA,98,Drama,IMDb,10807
490,The Palm Beach Story,1942,"Sturges, Preston",USA,88,Romance-Comedy,IMDb,2797
492,Fight Club,1999,"Fincher, David",USA-Germany,139,Drama,IMDb,19713
496,Zama,2017,"Martel, Lucrecia",Argentina-Brazil-Spain-Dominican Republic-France-Netherlands-Mexico-Switzerland-USA-Portugal-Lebanon,115,Drama-History,IMDb,42951
498,Children of Men,2006,"Cuarón, Alfonso",USA-UK,109,Drama-Science Fiction-Thriller,IMDb,24677
499,Reservoir Dogs,1992,"Tarantino, Quentin",USA,99,Drama-Crime-Thriller,IMDb,17990
