rank,title,year,tmdb_id,notes
77,Lost Horizon,1937,3598,Academy Award for Best Picture nominee; film year 1937; 10th ceremony; source Wikipedia/Academy table
78,One Hundred Men and a Girl,1937,61647,Academy Award for Best Picture nominee; film year 1937; 10th ceremony; source Wikipedia/Academy table
79,Stage Door,1937,43864,Academy Award for Best Picture nominee; film year 1937; 10th ceremony; source Wikipedia/Academy table
80,A Star Is Born,1937,22692,Academy Award for Best Picture nominee; film year 1937; 10th ceremony; source Wikipedia/Academy table
81,You Can't Take It with You,1938,34106,Academy Award for Best Picture winner; film year 1938; 11th ceremony; source Wikipedia/Academy table
82,The Adventures of Robin Hood,1938,10907,Academy Award for Best Picture nominee; film year 1938; 11th ceremony; source Wikipedia/Academy table
83,Alexander's Ragtime Band,1938,43839,Academy Award for Best Picture nominee; film year 1938; 11th ceremony; source Wikipedia/Academy table
84,Boys Town,1938,42390,Academy Award for Best Picture nominee; film year 1938; 11th ceremony; source Wikipedia/Academy table
85,The Citadel,1938,84090,Academy Award for Best Picture nominee; film year 1938; 11th ceremony; source Wikipedia/Academy table
86,Four Daughters,1938,67880,Academy Award for Best Picture nominee; film year 1938; 11th ceremony; source Wikipedia/Academy table
87,Grand Illusion,1938,777,Academy Award for Best Picture nominee; film year 1938; 11th ceremony; source Wikipedia/Academy table
88,Jezebel,1938,1976,Academy Award for Best Picture nominee; film year 1938; 11th ceremony; source Wikipedia/Academy table
89,Pygmalion,1938,25016,Academy Award for Best Picture nominee; film year 1938; 11th ceremony; source Wikipedia/Academy table
90,Test Pilot,1938,43155,Academy Award for Best Picture nominee; film year 1938; 11th ceremony; source Wikipedia/Academy table
91,Gone with the Wind,1939,770,Academy Award for Best Picture winner; film year 1939; 12th ceremony; source Wikipedia/Academy table
92,Dark Victory,1939,27972,Academy Award for Best Picture nominee; film year 1939; 12th ceremony; source Wikipedia/Academy table
93,"Goodbye, Mr. Chips",1939,42852,Academy Award for Best Picture nominee; film year 1939; 12th ceremony; source Wikipedia/Academy table
94,Love Affair,1939,43739,Academy Award for Best Picture nominee; film year 1939; 12th ceremony; source Wikipedia/Academy table
95,Mr. Smith Goes to Washington,1939,3083,Academy Award for Best Picture nominee; film year 1939; 12th ceremony; source Wikipedia/Academy table
96,Ninotchka,1939,1859,Academy Award for Best Picture nominee; film year 1939; 12th ceremony; source Wikipedia/Academy table
97,Of Mice and Men,1939,51802,Academy Award for Best Picture nominee; film year 1939; 12th ceremony; source Wikipedia/Academy table
98,Stagecoach,1939,995,Academy Award for Best Picture nominee; film year 1939; 12th ceremony; source Wikipedia/Academy table
99,The Wizard of Oz,1939,630,Academy Award for Best Picture nominee; film year 1939; 12th ceremony; source Wikipedia/Academy table
100,Wuthering Heights,1939,3084,Academy Award for Best Picture nominee; film year 1939; 12th ceremony; source Wikipedia/Academy table
101,Rebecca,1940,223,Academy Award for Best Picture winner; film year 1940; 13th ceremony; source Wikipedia/Academy table
102,"All This, and Heaven Too",1940,43807,Academy Award for Best Picture nominee; film year 1940; 13th ceremony; source Wikipedia/Academy table
103,Foreign Correspondent,1940,25670,Academy Award for Best Picture nominee; film year 1940; 13th ceremony; source Wikipedia/Academy table
104,The Grapes of Wrath,1940,596,Academy Award for Best Picture nominee; film year 1940; 13th ceremony; source Wikipedia/Academy table
105,The Great Dictator,1940,914,Academy Award for Best Picture nominee; film year 1940; 13th ceremony; source Wikipedia/Academy table
106,Kitty Foyle,1940,77744,Academy Award for Best Picture nominee; film year 1940; 13th ceremony; source Wikipedia/Academy table
107,The Letter,1940,17801,Academy Award for Best Picture nominee; film year 1940; 13th ceremony; source Wikipedia/Academy table
